year,county,township,admin_key,party_zh,party_code,candidate,vote_rate,votes,total_valid,turnout
2024,嘉義縣,中埔鄉,嘉義縣|中埔鄉,民進黨,DPP,賴清德,0.454600,11710,25760,0.692400
2024,嘉義縣,中埔鄉,嘉義縣|中埔鄉,國民黨,KMT,侯友宜,0.299900,7725,25760,0.692400
2024,嘉義縣,中埔鄉,嘉義縣|中埔鄉,民眾黨,TPP,柯文哲,0.245500,6324,25760,0.692400
2024,嘉義縣,番路鄉,嘉義縣|番路鄉,民進黨,DPP,賴清德,0.426000,2821,6622,0.689800
2024,嘉義縣,番路鄉,嘉義縣|番路鄉,國民黨,KMT,侯友宜,0.343900,2277,6622,0.689800
2024,嘉義縣,番路鄉,嘉義縣|番路鄉,民眾黨,TPP,柯文哲,0.230100,1524,6622,0.689800
2024,嘉義縣,阿里山鄉,嘉義縣|阿里山鄉,民進黨,DPP,賴清德,0.225000,631,2805,0.631800
2024,嘉義縣,阿里山鄉,嘉義縣|阿里山鄉,國民黨,KMT,侯友宜,0.552600,1550,2805,0.631800
2024,嘉義縣,阿里山鄉,嘉義縣|阿里山鄉,民眾黨,TPP,柯文哲,0.222500,624,2805,0.631800
2024,嘉義縣,大埔鄉,嘉義縣|大埔鄉,民進黨,DPP,賴清德,0.428400,903,2108,0.546900
2024,嘉義縣,大埔鄉,嘉義縣|大埔鄉,國民黨,KMT,侯友宜,0.354800,748,2108,0.546900
2024,嘉義縣,大埔鄉,嘉義縣|大埔鄉,民眾黨,TPP,柯文哲,0.216800,457,2108,0.546900
2024,基隆市,中正區,基隆市|中正區,民進黨,DPP,賴清德,0.342000,10241,29943,0.675200
2024,基隆市,中正區,基隆市|中正區,國民黨,KMT,侯友宜,0.390700,11699,29943,0.675200
2024,基隆市,中正區,基隆市|中正區,民眾黨,TPP,柯文哲,0.267200,8001,29943,0.675200
2024,基隆市,信義區,基隆市|信義區,民進黨,DPP,賴清德,0.316600,10480,33103,0.719800
2024,基隆市,信義區,基隆市|信義區,國民黨,KMT,侯友宜,0.411700,13629,33103,0.719800
2024,基隆市,信義區,基隆市|信義區,民眾黨,TPP,柯文哲,0.271600,8991,33103,0.719800
2024,基隆市,仁愛區,基隆市|仁愛區,民進黨,DPP,賴清德,0.386600,9265,23965,0.707300
2024,基隆市,仁愛區,基隆市|仁愛區,國民黨,KMT,侯友宜,0.373600,8953,23965,0.707300
2024,基隆市,仁愛區,基隆市|仁愛區,民眾黨,TPP,柯文哲,0.239700,5744,23965,0.707300
2024,基隆市,中山區,基隆市|中山區,民進黨,DPP,賴清德,0.355500,9835,27665,0.695500
